#  E (eV)	   dosup(E) 	     dosdw(E)	   Int dos(E)	 EFermi =   15.122 eV
1.0300E+01	2.6293E+00	1.9013E+00	4.5306E+00	
1.0300E+01	2.2244E+00	1.8889E+00	4.1133E+00	
1.0300E+01	2.1410E+00	1.8705E+00	4.0115E+00	
1.0300E+01	2.2323E+00	1.8389E+00	4.0712E+00	
1.0400E+01	2.3589E+00	1.8176E+00	4.1765E+00	
1.0400E+01	2.4147E+00	1.8026E+00	4.2173E+00	
1.0400E+01	2.2190E+00	1.7334E+00	3.9524E+00	
1.0400E+01	2.2395E+00	1.7517E+00	3.9912E+00	
1.0400E+01	2.2107E+00	1.7810E+00	3.9917E+00	
1.0500E+01	2.3509E+00	1.7939E+00	4.1448E+00	
1.0500E+01	2.2463E+00	1.8894E+00	4.1357E+00	
1.0500E+01	2.3780E+00	1.9740E+00	4.3520E+00	
1.0500E+01	2.1959E+00	1.9904E+00	4.1863E+00	
1.0500E+01	2.2317E+00	1.9699E+00	4.2016E+00	
1.0600E+01	2.1182E+00	1.8743E+00	3.9925E+00	
1.0600E+01	2.0758E+00	1.8421E+00	3.9179E+00	
1.0600E+01	2.1434E+00	1.8310E+00	3.9744E+00	
1.0600E+01	2.2554E+00	1.7960E+00	4.0514E+00	
1.0600E+01	2.5123E+00	1.8322E+00	4.3445E+00	
1.0700E+01	2.8824E+00	1.9139E+00	4.7963E+00	
1.0700E+01	3.1478E+00	1.9253E+00	5.0731E+00	
1.0700E+01	3.1498E+00	1.9993E+00	5.1491E+00	
1.0700E+01	3.2161E+00	2.1682E+00	5.3843E+00	
1.0700E+01	3.2304E+00	2.0598E+00	5.2902E+00	
1.0800E+01	3.8222E+00	2.2401E+00	6.0623E+00	
1.0800E+01	5.5043E+00	2.1936E+00	7.6979E+00	
1.0800E+01	5.2974E+00	1.9525E+00	7.2499E+00	
1.0800E+01	4.7726E+00	1.8175E+00	6.5901E+00	
1.0800E+01	4.5102E+00	1.7406E+00	6.2508E+00	
1.0900E+01	4.1068E+00	1.6488E+00	5.7556E+00	
1.0900E+01	3.7399E+00	1.6519E+00	5.3918E+00	
1.0900E+01	3.3533E+00	1.6907E+00	5.0440E+00	
1.0900E+01	2.9549E+00	1.6537E+00	4.6086E+00	
1.0900E+01	3.0851E+00	1.5815E+00	4.6666E+00	
1.1000E+01	2.9391E+00	1.4234E+00	4.3625E+00	
1.1000E+01	3.2780E+00	1.4341E+00	4.7121E+00	
1.1000E+01	3.6033E+00	1.5491E+00	5.1524E+00	
1.1000E+01	3.5344E+00	1.6566E+00	5.1910E+00	
1.1000E+01	3.7608E+00	1.6774E+00	5.4382E+00	
1.1100E+01	3.9752E+00	1.7039E+00	5.6791E+00	
1.1100E+01	4.1384E+00	1.6638E+00	5.8022E+00	
1.1100E+01	4.4298E+00	1.6421E+00	6.0719E+00	
1.1100E+01	4.8538E+00	1.5633E+00	6.4171E+00	
1.1100E+01	4.6854E+00	1.6034E+00	6.2888E+00	
1.1200E+01	4.1600E+00	1.4991E+00	5.6591E+00	
1.1200E+01	4.4410E+00	1.5675E+00	6.0085E+00	
1.1200E+01	3.9746E+00	1.6272E+00	5.6018E+00	
1.1200E+01	4.3094E+00	1.6433E+00	5.9527E+00	
1.1200E+01	5.0254E+00	1.6377E+00	6.6631E+00	
1.1300E+01	6.8177E+00	1.6597E+00	8.4774E+00	
1.1300E+01	6.6974E+00	1.7579E+00	8.4553E+00	
1.1300E+01	6.3218E+00	1.9136E+00	8.2354E+00	
1.1300E+01	6.2993E+00	2.0254E+00	8.3247E+00	
1.1300E+01	6.1155E+00	2.0421E+00	8.1576E+00	
1.1400E+01	6.4088E+00	2.2015E+00	8.6103E+00	
1.1400E+01	6.8444E+00	2.3232E+00	9.1676E+00	
1.1400E+01	7.7951E+00	2.5722E+00	1.0367E+01	
1.1400E+01	8.0917E+00	2.4984E+00	1.0590E+01	
1.1400E+01	9.2082E+00	2.6894E+00	1.1898E+01	
1.1500E+01	6.8317E+00	2.6789E+00	9.5106E+00	
1.1500E+01	6.9420E+00	2.5494E+00	9.4914E+00	
1.1500E+01	7.4319E+00	2.1901E+00	9.6220E+00	
1.1500E+01	8.2364E+00	2.0952E+00	1.0332E+01	
1.1500E+01	7.1369E+00	1.9839E+00	9.1208E+00	
1.1600E+01	5.9970E+00	2.0137E+00	8.0107E+00	
1.1600E+01	5.1547E+00	2.1220E+00	7.2767E+00	
1.1600E+01	4.5597E+00	2.2511E+00	6.8108E+00	
1.1600E+01	4.4878E+00	2.0253E+00	6.5131E+00	
1.1600E+01	4.5036E+00	2.0098E+00	6.5134E+00	
1.1700E+01	4.9848E+00	1.8186E+00	6.8034E+00	
1.1700E+01	5.3870E+00	2.0615E+00	7.4485E+00	
1.1700E+01	5.5180E+00	2.3792E+00	7.8972E+00	
1.1700E+01	5.8415E+00	2.4999E+00	8.3414E+00	
1.1700E+01	6.7117E+00	2.3258E+00	9.0375E+00	
1.1800E+01	7.0655E+00	2.2625E+00	9.3280E+00	
1.1800E+01	7.0462E+00	2.1029E+00	9.1491E+00	
1.1800E+01	7.6685E+00	1.9325E+00	9.6010E+00	
1.1800E+01	7.0647E+00	1.8580E+00	8.9227E+00	
1.1800E+01	6.6530E+00	1.9408E+00	8.5938E+00	
1.1900E+01	4.6665E+00	1.9160E+00	6.5825E+00	
1.1900E+01	4.3017E+00	2.1918E+00	6.4935E+00	
1.1900E+01	4.7076E+00	2.3669E+00	7.0745E+00	
1.1900E+01	4.9463E+00	2.6463E+00	7.5926E+00	
1.1900E+01	5.4594E+00	2.6758E+00	8.1352E+00	
1.2000E+01	5.1891E+00	2.7490E+00	7.9381E+00	
1.2000E+01	5.6673E+00	2.7205E+00	8.3878E+00	
1.2000E+01	8.3534E+00	3.1711E+00	1.1525E+01	
1.2000E+01	7.8483E+00	3.2796E+00	1.1128E+01	
1.2000E+01	1.0638E+01	3.2323E+00	1.3870E+01	
1.2100E+01	9.1601E+00	3.5851E+00	1.2745E+01	
1.2100E+01	7.7243E+00	2.7847E+00	1.0509E+01	
1.2100E+01	7.4114E+00	2.3701E+00	9.7815E+00	
1.2100E+01	6.9360E+00	2.1970E+00	9.1330E+00	
1.2100E+01	7.5903E+00	2.0819E+00	9.6722E+00	
1.2200E+01	1.0685E+01	2.1753E+00	1.2860E+01	
1.2200E+01	1.1519E+01	2.1080E+00	1.3627E+01	
1.2200E+01	6.7625E+00	1.9228E+00	8.6853E+00	
1.2200E+01	1.0472E+01	2.1509E+00	1.2623E+01	
1.2200E+01	6.5135E+00	2.2558E+00	8.7693E+00	
1.2300E+01	7.2835E+00	1.9572E+00	9.2407E+00	
1.2300E+01	1.1467E+01	2.0471E+00	1.3514E+01	
1.2300E+01	1.6385E+01	2.6060E+00	1.8991E+01	
1.2300E+01	7.9756E+00	3.6916E+00	1.1667E+01	
1.2300E+01	7.6506E+00	3.1028E+00	1.0753E+01	
1.2400E+01	7.5279E+00	2.4650E+00	9.9929E+00	
1.2400E+01	6.9369E+00	2.4491E+00	9.3860E+00	
1.2400E+01	6.1475E+00	2.6988E+00	8.8463E+00	
1.2400E+01	8.2538E+00	2.6650E+00	1.0919E+01	
1.2400E+01	8.6487E+00	3.2940E+00	1.1943E+01	
1.2500E+01	8.9028E+00	4.0076E+00	1.2910E+01	
1.2500E+01	9.8201E+00	3.8663E+00	1.3686E+01	
1.2500E+01	9.3688E+00	3.7402E+00	1.3109E+01	
1.2500E+01	9.5012E+00	3.8533E+00	1.3355E+01	
1.2500E+01	9.8860E+00	3.7468E+00	1.3633E+01	
1.2600E+01	1.1407E+01	3.8272E+00	1.5234E+01	
1.2600E+01	1.2563E+01	5.0517E+00	1.7615E+01	
1.2600E+01	1.1618E+01	4.9182E+00	1.6536E+01	
1.2600E+01	1.1630E+01	5.4505E+00	1.7081E+01	
1.2600E+01	1.3135E+01	4.9537E+00	1.8089E+01	
1.2700E+01	1.1537E+01	7.3695E+00	1.8907E+01	
1.2700E+01	1.0099E+01	3.9368E+00	1.4036E+01	
1.2700E+01	1.4617E+01	8.6862E+00	2.3303E+01	
1.2700E+01	1.1234E+01	7.2261E+00	1.8460E+01	
1.2700E+01	9.5143E+00	8.4425E+00	1.7957E+01	
1.2800E+01	9.7788E+00	8.2240E+00	1.8003E+01	
1.2800E+01	9.4331E+00	8.4419E+00	1.7875E+01	
1.2800E+01	9.9496E+00	8.0186E+00	1.7968E+01	
1.2800E+01	9.7948E+00	6.1484E+00	1.5943E+01	
1.2800E+01	1.5360E+01	4.2224E+00	1.9582E+01	
1.2900E+01	1.2691E+01	4.5692E+00	1.7260E+01	
1.2900E+01	1.0736E+01	5.1148E+00	1.5851E+01	
1.2900E+01	9.1298E+00	4.7524E+00	1.3882E+01	
1.2900E+01	1.3483E+01	5.7240E+00	1.9207E+01	
1.2900E+01	1.4789E+01	6.8417E+00	2.1631E+01	
1.3000E+01	1.5754E+01	6.3275E+00	2.2082E+01	
1.3000E+01	8.3552E+00	6.2620E+00	1.4617E+01	
1.3000E+01	7.8099E+00	8.9419E+00	1.6752E+01	
1.3000E+01	8.2794E+00	8.8218E+00	1.7101E+01	
1.3000E+01	9.3048E+00	6.8094E+00	1.6114E+01	
1.3100E+01	1.2025E+01	5.5030E+00	1.7528E+01	
1.3100E+01	1.2758E+01	4.3618E+00	1.7120E+01	
1.3100E+01	1.6254E+01	3.7590E+00	2.0013E+01	
1.3100E+01	1.0240E+01	3.6256E+00	1.3866E+01	
1.3200E+01	6.5115E+00	3.3234E+00	9.8349E+00	
